date_ny,events,unique_users,unique_liquidators,collateral_value_usd,debt_repaid_value_usd
2025-11-02,6,6,5,47409.32476141659,45171.119609283916
2025-11-03,94,94,13,2045966.6777750743,1888040.4921042204
2025-11-04,582,527,25,99817305.23793767,93324658.80126123
2025-11-05,5,5,2,46.076143960328565,43.667860850864514
