csu,variable,shock,horizon,irf
aave_v2_polygon,liquidation,return_shock,20,-0.00025327306280821874
aave_v2_polygon,liquidation,return_shock,21,-0.000219834874756487
aave_v2_polygon,liquidation,return_shock,22,-0.00019007271294959837
aave_v2_polygon,liquidation,return_shock,23,-0.00016426696098321544
aave_v2_polygon,liquidation,return_shock,24,-0.00014207339115172616
aave_v2_polygon,liquidation,return_shock,25,-0.0001229316090065656
aave_v2_polygon,liquidation,return_shock,26,-0.0001063254223001227
aave_v2_polygon,liquidation,return_shock,27,-9.199479533663478e-05
aave_v2_polygon,liquidation,return_shock,28,-7.959246504856569e-05
aave_v2_polygon,liquidation,return_shock,29,-6.885826848360023e-05
aave_v2_polygon,liquidation,return_shock,30,-5.956484626160785e-05
aave_v2_polygon,liquidation,liquidation_shock,0,0.7552056143882642
aave_v2_polygon,liquidation,liquidation_shock,1,0.16244804000937973
aave_v2_polygon,liquidation,liquidation_shock,2,0.15983233797420637
aave_v2_polygon,liquidation,liquidation_shock,3,0.1282672541876136
aave_v2_polygon,liquidation,liquidation_shock,4,0.18809204960522383
aave_v2_polygon,liquidation,liquidation_shock,5,0.14342114648554039
aave_v2_polygon,liquidation,liquidation_shock,6,0.11761470971943015
aave_v2_polygon,liquidation,liquidation_shock,7,0.10564720306198909
aave_v2_polygon,liquidation,liquidation_shock,8,0.09069105508327303
aave_v2_polygon,liquidation,liquidation_shock,9,0.07655013800559743
aave_v2_polygon,liquidation,liquidation_shock,10,0.06604770429567797
aave_v2_polygon,liquidation,liquidation_shock,11,0.05842995968339609
aave_v2_polygon,liquidation,liquidation_shock,12,0.050328030084542785
aave_v2_polygon,liquidation,liquidation_shock,13,0.04346206082340824
aave_v2_polygon,liquidation,liquidation_shock,14,0.03753656899822969
aave_v2_polygon,liquidation,liquidation_shock,15,0.03253919249102986
aave_v2_polygon,liquidation,liquidation_shock,16,0.028099982995502096
aave_v2_polygon,liquidation,liquidation_shock,17,0.024316947781743634
aave_v2_polygon,liquidation,liquidation_shock,18,0.021043859638178706
aave_v2_polygon,liquidation,liquidation_shock,19,0.01821113845909181
aave_v2_polygon,liquidation,liquidation_shock,20,0.015749630050996364
aave_v2_polygon,liquidation,liquidation_shock,21,0.013624913035589853
aave_v2_polygon,liquidation,liquidation_shock,22,0.011787219934273046
aave_v2_polygon,liquidation,liquidation_shock,23,0.010197121704672268
aave_v2_polygon,liquidation,liquidation_shock,24,0.008821377670506026
aave_v2_polygon,liquidation,liquidation_shock,25,0.007631542413902628
aave_v2_polygon,liquidation,liquidation_shock,26,0.0066021526492227615
aave_v2_polygon,liquidation,liquidation_shock,27,0.005711489839268654
aave_v2_polygon,liquidation,liquidation_shock,28,0.004941004148668885
aave_v2_polygon,liquidation,liquidation_shock,29,0.004274477888867811
aave_v2_polygon,liquidation,liquidation_shock,30,0.0036978665531134246
aave_v3_arbitrum,basket_return,return_shock,0,0.16861402838858597
aave_v3_arbitrum,basket_return,return_shock,1,-0.009749135703285852
aave_v3_arbitrum,basket_return,return_shock,2,0.009838194872375016
aave_v3_arbitrum,basket_return,return_shock,3,-0.007251849962575088
aave_v3_arbitrum,basket_return,return_shock,4,-0.0006646760304221834
aave_v3_arbitrum,basket_return,return_shock,5,-0.0019177305748211896
aave_v3_arbitrum,basket_return,return_shock,6,-0.000275994995057043
aave_v3_arbitrum,basket_return,return_shock,7,-0.00033821749716001024
aave_v3_arbitrum,basket_return,return_shock,8,-2.8774015779775343e-05
aave_v3_arbitrum,basket_return,return_shock,9,-4.2642797964154174e-05
aave_v3_arbitrum,basket_return,return_shock,10,3.7262956271283858e-06
aave_v3_arbitrum,basket_return,return_shock,11,-3.3015103006326715e-06
aave_v3_arbitrum,basket_return,return_shock,12,2.286756817149343e-06
aave_v3_arbitrum,basket_return,return_shock,13,2.2449677315551764e-08
aave_v3_arbitrum,basket_return,return_shock,14,5.741535164881196e-07
aave_v3_arbitrum,basket_return,return_shock,15,4.503124687548253e-08
aave_v3_arbitrum,basket_return,return_shock,16,1.0084502804541653e-07
aave_v3_arbitrum,basket_return,return_shock,17,2.677669989253257e-09
aave_v3_arbitrum,basket_return,return_shock,18,1.3216507190366314e-08
aave_v3_arbitrum,basket_return,return_shock,19,-1.8401999943563271e-09
aave_v3_arbitrum,basket_return,return_shock,20,1.2074475103378854e-09
aave_v3_arbitrum,basket_return,return_shock,21,-7.507198837027966e-10
aave_v3_arbitrum,basket_return,return_shock,22,5.241551529564906e-11
aave_v3_arbitrum,basket_return,return_shock,23,-1.765438426776522e-10
aave_v3_arbitrum,basket_return,return_shock,24,-1.6793796440391962e-12
aave_v3_arbitrum,basket_return,return_shock,25,-3.084832311932747e-11
aave_v3_arbitrum,basket_return,return_shock,26,1.0774687593605446e-12
aave_v3_arbitrum,basket_return,return_shock,27,-4.207368714974561e-12
aave_v3_arbitrum,basket_return,return_shock,28,7.953220443269892e-13
aave_v3_arbitrum,basket_return,return_shock,29,-4.4201880854390764e-13
aave_v3_arbitrum,basket_return,return_shock,30,2.513470318750172e-13
aave_v3_arbitrum,basket_return,liquidation_shock,0,0.0
aave_v3_arbitrum,basket_return,liquidation_shock,1,-0.04760249490978894
aave_v3_arbitrum,basket_return,liquidation_shock,2,0.1206484043578486
aave_v3_arbitrum,basket_return,liquidation_shock,3,0.010227761333996449
aave_v3_arbitrum,basket_return,liquidation_shock,4,0.028877515704271807
aave_v3_arbitrum,basket_return,liquidation_shock,5,0.0025998161959805855
aave_v3_arbitrum,basket_return,liquidation_shock,6,0.004694326358860434
aave_v3_arbitrum,basket_return,liquidation_shock,7,3.8700887293980374e-05
aave_v3_arbitrum,basket_return,liquidation_shock,8,0.000556058573920038
aave_v3_arbitrum,basket_return,liquidation_shock,9,-0.00011922329406931635
aave_v3_arbitrum,basket_return,liquidation_shock,10,4.1714769509690635e-05
aave_v3_arbitrum,basket_return,liquidation_shock,11,-4.1010641836538354e-05
aave_v3_arbitrum,basket_return,liquidation_shock,12,4.2876685449006686e-07
aave_v3_arbitrum,basket_return,liquidation_shock,13,-8.854012788616842e-06
aave_v3_arbitrum,basket_return,liquidation_shock,14,-1.9466054471150046e-07
aave_v3_arbitrum,basket_return,liquidation_shock,15,-1.4381083514639495e-06
aave_v3_arbitrum,basket_return,liquidation_shock,16,7.403741275036027e-08
aave_v3_arbitrum,basket_return,liquidation_shock,17,-1.8037650084271045e-07
aave_v3_arbitrum,basket_return,liquidation_shock,18,4.6007895223323427e-08
aave_v3_arbitrum,basket_return,liquidation_shock,19,-1.6783840264351606e-08
aave_v3_arbitrum,basket_return,liquidation_shock,20,1.3314227078770637e-08
